"Date","Amount","Star","Empty","Description"
"07/06/2020","136.64","*","","ATM CHECK DEPOSIT ON 07/04  0001902 ATM ID 0121C CARD XXXX"
"07/03/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/03/2020","-12.49","*","","PURCHASE AUTHORIZED ON 07/02 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/02/2020","100.00","*","","PURCHASE RETURN AUTHORIZED ON 07/01 Tesla 188-85183752 CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/01/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/01/2020","-100.00","*","","PURCHASE AUTHORIZED ON 06/30 Tesla 188-85183752 CA SXXXXXXXXXXXXXXX CARD XXXX"
"06/30/2020","350.00","*","","TRANSFER FROM D J ON 06/30 "
"06/29/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"06/29/2020","-11.49","*","","PURCHASE AUTHORIZED ON 06/26 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"06/29/2020","-3.99","*","","PURCHASE AUTHORIZED ON 06/26 NINTENDO *AMERI 800-255-3700 WA SXXXXXXXXXXXXXXX CARD XXXX"
"06/25/2020","136.65","*","","ATM CHECK DEPOSIT ON 06/25  0009755 ATM ID 0121C CARD XXXX"
"06/23/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"06/23/2020","-21.84","*","","PURCHASE AUTHORIZED ON 06/22 AMZN MKTP US*MS22C AMZN.COM/BILL WA SXXXXXXXXXXXXXXX CARD XXXX"
"06/22/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"06/22/2020","-10.91","*","","PURCHASE AUTHORIZED ON 06/17 AMZN Mktp US*MS5WM Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
"06/16/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"06/16/2020","-5.45","*","","PURCHASE AUTHORIZED ON 06/15 AMAZON.COM*MY4DJ5R AMZN.COM/BILL WA SXXXXXXXXXXXXXXX CARD XXXX"
"06/15/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"06/15/2020","-57.03","*","","PURCHASE AUTHORIZED ON 06/15 TARGET T- 15555 E 14th San Leandro CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"06/15/2020","-9.82","*","","PURCHASE AUTHORIZED ON 06/11 AMZN Mktp US*MY409 Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
"06/15/2020","-32.78","*","","PURCHASE AUTHORIZED ON 06/10 AMAZON.COM*MY8WN4D AMZN.COM/BILL WA SXXXXXXXXXXXXXXX CARD XXXX"
"06/12/2020","-50.00","*","","ROBINHOOD Funds 200611 XXXXXXXXX A D"
"06/11/2020","-20.00","*","","ZELLE TO D C ON 06/11 "
"06/09/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"06/09/2020","-33.79","*","","PURCHASE AUTHORIZED ON 06/07 TACO BELL 30774 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"06/09/2020","136.64","*","","ATM CHECK DEPOSIT ON 06/09  0008912 ATM ID 0121A CARD XXXX"
"06/05/2020","-20.00","*","","ATM WITHDRAWAL AUTHORIZED ON 06/05  0005822 ATM ID 0121C CARD XXXX"
"05/29/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/29/2020","-3.99","*","","PURCHASE AUTHORIZED ON 05/27 NINTENDO *AMERI 800-255-3700 WA SXXXXXXXXXXXXXXX CARD XXXX"
"05/28/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/28/2020","-13.98","*","","PURCHASE AUTHORIZED ON 05/26 JACK IN THE BOX 04 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"05/26/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/26/2020","-50.00","*","","ONLINE TRANSFER TO PLATINUM CARD XXXXXXXXXXXXXXXX ON 05/26/20"
"05/26/2020","-9.00","*","","PURCHASE AUTHORIZED ON 05/23 LA MICHOACANA PLUS SYLMAR CA SXXXXXXXXXXXXXXX CARD XXXX"
"05/26/2020","200.00","*","","ATM CASH DEPOSIT ON 05/25 SAN FERNANDO SAN FERNANDO CA 0002284 ATM ID 0612A CARD XXXX"
"05/26/2020","13.66","*","","PURCHASE RETURN AUTHORIZED ON 05/22 AMZN Mktp US Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
"05/21/2020","-19.99","*","","PAYPAL INST XFER 200521 PLAYSTATION A D"
"05/21/2020","-5.41","*","","PAYPAL INST XFER 200521 HYDRO FLASK A D"
"05/20/2020","40.00","*","","ATM CASH DEPOSIT ON 05/20  0002893 ATM ID 0121B CARD XXXX"
"05/19/2020","5.10","*","","PURCHASE RETURN AUTHORIZED ON 05/18 PAYPAL *THECHIVERY 844-889-5226 TX SXXXXXXXXXXXXXXX CARD XXXX"
"05/18/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/18/2020","-17.48","*","","PAYPAL INST XFER 200516 ETSY.COM A D"
"05/18/2020","-27.54","*","","PURCHASE AUTHORIZED ON 05/16 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"05/15/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/15/2020","-29.27","*","","PURCHASE AUTHORIZED ON 05/15 LOS PERICOS MARKET #1 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"05/15/2020","-13.56","*","","PURCHASE AUTHORIZED ON 05/14 CHIPOTLE ONLINE 3035954000 CA SXXXXXXXXXXXXXXX CARD XXXX"
"05/15/2020","-13.66","*","","PURCHASE AUTHORIZED ON 05/09 AMZN Mktp US*MC7QC Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
"05/14/2020","-241.99","*","","PAYPAL INST XFER 200514 PANDORAECOM A D"
"05/14/2020","100.00","*","","ATM CASH DEPOSIT ON 05/14  0001312 ATM ID 0121B CARD XXXX"
"05/11/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/11/2020","-15.34","*","","PURCHASE AUTHORIZED ON 05/10 SAFEWAY #0994 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"05/11/2020","-15.00","*","","PURCHASE AUTHORIZED ON 05/08 LOARDS ICE CREAM SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"05/11/2020","20.00","*","","ONLINE TRANSFER FROM D A WAY2SAVE SAVINGS XXXXXXXXXX ON 05/08/20"
"05/11/2020","81.00","*","","TRANSFER FROM D J ON 05/09 "
"05/11/2020","100.00","*","","TRANSFER FROM D C ON 05/09 R"
"05/07/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/07/2020","-3.99","*","","PURCHASE AUTHORIZED ON 05/06 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"05/05/2020","54.63","*","","PAYPAL TRANSFER 200505 XXXXXXXXXXXXX A D"
"05/04/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/04/2020","-14.45","*","","PURCHASE AUTHORIZED ON 05/03 MCDONALDS F939 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"05/04/2020","-100.00","*","","ATM WITHDRAWAL AUTHORIZED ON 05/03 0008846 ATM ID 0061A CARD XXXX"
"05/04/2020","-0.99","*","","PURCHASE AUTHORIZED ON 04/30 STEAMGAMES.COM 425 425-8899642 WA SXXXXXXXXXXXXXXX CARD XXXX"
"05/04/2020","100.00","*","","ATM CASH DEPOSIT ON 05/03 0008845 ATM ID 0061A CARD XXXX"
"05/01/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"05/01/2020","-2.10","*","","PURCHASE AUTHORIZED ON 04/29 GLACIER WATER VEND WINSTON SALEM NC SXXXXXXXXXXXXXXX CARD XXXX"
"04/30/2020","-86.00","*","","TRANSFER TO D N ON 04/29  NXXXXXXXXXX"
"04/29/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/29/2020","-3.99","*","","PURCHASE AUTHORIZED ON 04/27 NINTENDO *AMERI 800-255-3700 WA SXXXXXXXXXXXXXXX CARD XXXX"
"04/29/2020","140.00","*","","ATM CASH DEPOSIT ON 04/29 0005130 ATM ID 0121A CARD XXXX"
"04/27/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/27/2020","-21.73","*","","PURCHASE AUTHORIZED ON 04/26 LOS PERICOS MARKET #1 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"04/27/2020","-250.00","*","","ZELLE TO D J ON 04/25 "
"04/24/2020","-54.63","*","","PAYPAL INST XFER 200424 CONVERSEINC A D"
"04/24/2020","150.00","*","","TRANSFER FROM D C ON 04/24 FLOODLIGHTS"
"04/23/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/23/2020","-31.22","*","","PAYPAL INST XFER 200423 SF CABLE A D"
"04/23/2020","-17.29","*","","PURCHASE AUTHORIZED ON 04/23 LOS PERICOS MARKET #1 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"04/23/2020","20.00","*","","TRANSFER FROM D J ON 04/23 PP07ZPHCXQ"
"04/22/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/22/2020","-19.76","*","","PURCHASE AUTHORIZED ON 04/22 LOS PERICOS MARKET #1 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"04/21/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/21/2020","-14.27","*","","PURCHASE AUTHORIZED ON 04/20 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"04/21/2020","-43.69","*","","PURCHASE AUTHORIZED ON 04/19 AMZN Mktp US*DT9EX Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
"04/20/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/20/2020","-51.74","*","","IVENTAS ONLINE IAT PAYPAL 200420 XXXXXXXXXXXXX A D"
"04/20/2020","-43.69","*","","PURCHASE AUTHORIZED ON 04/19 FRY'S ELECTRONICS BURBANK CA SXXXXXXXXXXXXXXX CARD XXXX"
"04/20/2020","-19.63","*","","PURCHASE AUTHORIZED ON 04/17 JACK IN THE BOX 04 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"04/20/2020","-56.78","*","","PURCHASE AUTHORIZED ON 04/17 PAYPAL *THECHIVERY 844-889-5226 TX SXXXXXXXXXXXXXXX CARD XXXX"
"04/20/2020","40.00","*","","ATM CASH DEPOSIT ON 04/18 0001514 ATM ID 0121A CARD XXXX"
"04/16/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/16/2020","-9.28","*","","PURCHASE AUTHORIZED ON 04/16 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"04/13/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/13/2020","-65.00","*","","ONLINE TRANSFER TO PLATINUM CARD XXXXXXXXXXXXXXXX ON 04/11/20"
"04/13/2020","-15.12","*","","PURCHASE AUTHORIZED ON 04/10 MCDONALDS F939 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"04/08/2020","-45.00","*","","ZELLE TO D J "
"04/08/2020","45.00","*","","VENMO CASHOUT XXXXXXXXXX A D"
"04/06/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"04/06/2020","-29.00","*","","PURCHASE AUTHORIZED ON 04/06 VENMO* Visa Direct NY SXXXXXXXXXXXXXXX CARD XXXX"
"04/03/2020","384.00","*","","TRANSFER FROM D J ON 04/03 THANK YOU FOR THE HELP"
"04/01/2020","-19.99","*","","PAYPAL INST XFER 200401 PLAYSTATION A D"
"03/31/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/31/2020","-20.00","*","","PURCHASE AUTHORIZED ON 03/30 KAISER 02090173 UNION CITY CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/30/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/30/2020","-3.99","*","","PURCHASE AUTHORIZED ON 03/28 NINTENDO *AMERI 800-255-3700 WA SXXXXXXXXXXXXXXX CARD XXXX"
"03/30/2020","68.51","*","","ATM CHECK DEPOSIT ON 03/30 0000381 ATM ID 0121B CARD XXXX"
"03/30/2020","80.00","*","","ATM CASH DEPOSIT ON 03/30 0000380 ATM ID 0121B CARD XXXX"
"03/26/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/26/2020","-17.26","*","","PURCHASE AUTHORIZED ON 03/26 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"03/26/2020","50.00","*","","ATM CASH DEPOSIT ON 03/26 0004275 ATM ID 0121A CARD XXXX"
"03/25/2020","-50.00","*","","ONLINE TRANSFER TO PLATINUM CARD XXXXXXXXXXXXXXXX ON 03/25/20"
"03/23/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/23/2020","-6.54","*","","PURCHASE AUTHORIZED ON 03/21 Amazon.com*I13NX8N Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
"03/18/2020","100.00","*","","ATM CASH DEPOSIT ON 03/18 0008093 ATM ID 0121B CARD XXXX"
"03/17/2020","-257.00","*","","TRANSFER TO D N ON 03/17 NXXXXXXXXXX"
"03/16/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/16/2020","-5.00","*","","PURCHASE AUTHORIZED ON 03/13 OVERTURE PROMOTION 224-424-4025 IL SXXXXXXXXXXXXXXX CARD XXXX"
"03/16/2020","257.23","*","","MOBILE DEPOSIT : REF NUMBER :XXXXXXXXXXXX"
"03/13/2020","6.00","*","","ONLINE TRANSFER FROM D A WAY2SAVE SAVINGS XXXXXXXXXX ON 03/13/20"
"03/12/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/12/2020","-5.30","*","","PURCHASE AUTHORIZED ON 03/11 PEET'S #27802 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/11/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/11/2020","-4.10","*","","PURCHASE AUTHORIZED ON 03/10 PEET'S #27802 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/11/2020","-3.65","*","","PURCHASE AUTHORIZED ON 03/09 STARBUCKS STORE 10 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/10/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/10/2020","-4.92","*","","PURCHASE AUTHORIZED ON 03/10 7-ELEVEN SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"03/10/2020","-46.00","*","","ONLINE TRANSFER TO PLATINUM CARD XXXXXXXXXXXXXXXX ON 03/10/20"
"03/10/2020","-66.00","*","","PURCHASE AUTHORIZED ON 03/09 PARKING CIT-WEB 800-500-6484 CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/10/2020","-20.08","*","","PURCHASE AUTHORIZED ON 03/08 RAMEN 101. DUBLIN CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/10/2020","14.00","*","","ONLINE TRANSFER FROM D A WAY2SAVE SAVINGS XXXXXXXXXX ON 03/10/20"
"03/10/2020","20.00","*","","ATM CASH DEPOSIT ON 03/10  0009568 ATM ID 0121A CARD XXXX"
"03/09/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/09/2020","-47.00","*","","PURCHASE AUTHORIZED ON 03/08 VENMO* Visa Direct NY S00380068814596520 CARD XXXX"
"03/09/2020","120.00","*","","ATM CASH DEPOSIT ON 03/08  0007753 ATM ID 0121C CARD XXXX"
"03/06/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/06/2020","-5.30","*","","PURCHASE AUTHORIZED ON 03/05 PEET'S #27802 SAN LEANDRO CA S460065838899307 CARD XXXX"
"03/05/2020","-307.65","*","","GREAT LAKES STUDENT LN 200304 6NTA20RV0T1 A D"
"03/03/2020","304.00","*","","TRANSFER FROM D J ON 03/03"
"03/02/2020","-4.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"03/02/2020","-47.00","*","","PURCHASE AUTHORIZED ON 02/29 CHEVRON/XTRA OIL COMPAN SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"03/02/2020","-4.00","*","","PURCHASE AUTHORIZED ON 02/29 TCB*MTA METER MTA SAN FRANCISCO CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/02/2020","-0.25","*","","PURCHASE AUTHORIZED ON 02/29 TCB*MTA METER MTA SAN FRANCISCO CA SXXXXXXXXXXXXXXX CARD XXXX"
"03/02/2020","-0.25","*","","PURCHASE AUTHORIZED ON 02/29 TCB*MTA METER MTA SAN FRANCISCO CA SXXXXXXXXXXXXXXX CARD XXXX"
"02/28/2020","100.00","*","","TRANSFER FROM D J ON 02/28"
"02/24/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"02/24/2020","-30.67","*","","PURCHASE AUTHORIZED ON 02/23 LOS PERICOS MARKET #1 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"02/24/2020","-50.00","*","","ONLINE TRANSFER TO PLATINUM CARD XXXXXXXXXXXXXXXX ON 02/23/20"
"02/24/2020","-3.93","*","","PURCHASE AUTHORIZED ON 02/22 JACK IN THE BOX 04 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"02/24/2020","40.00","*","","TRANSFER FROM D J ON 02/22"
"02/20/2020","65.76","*","","MONEY TRANSFER AUTHORIZED ON 02/20 FROM DoorDash, Inc. CA SXXXXXXXXXXXXXXX CARD XXXX"
"02/18/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"02/18/2020","-25.00","*","","PURCHASE AUTHORIZED ON 02/16 CHEVRON/XTRA OIL COMPAN SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"02/18/2020","-5.56","*","","PURCHASE AUTHORIZED ON 02/16 JACK IN THE BOX 04 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"02/18/2020","-20.00","*","","ZELLE TO D C ON 02/16"
"02/18/2020","40.00","*","","ATM CASH DEPOSIT ON 02/16  0003963 ATM ID 0121C CARD XXXX"
"02/14/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"02/14/2020","-34.54","*","","PURCHASE AUTHORIZED ON 02/14 SAFEWAY #0994 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
